Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2020-04-02,0.08499838653951883,0.15273230522871017,0.1967203989624977,0.24511492997407913,0.35612028539180657,0.19672039,0.20243755,0.07053303,0.050771326,0.72029096,Chittagong,Bandarban,2,4,2020
2020-09-25,0.007533529063221067,0.012435922864824533,0.016229793429374695,0.02152480324730277,0.047589372750371534,0.016229793,0.018741159,0.010719692,0.0038317044,0.14427628,Chittagong,Bandarban,25,9,2020
2020-12-22,0.03112996737472713,0.046718121506273746,0.056823818013072014,0.06859825737774372,0.11063649635761968,0.05682382,0.05993054,0.020852568,0.020902568,0.3129509,Chittagong,Bandarban,22,12,2020
2019-05-13,0.019253143761307,0.03588675241917372,0.0510543342679739,0.0725270975381136,0.15265877954661836,0.051054336,0.059603747,0.036776222,0.009828171,0.57957447,Chittagong,Bandarban,13,5,2019
2019-10-04,0.008694986649788915,0.013408993603661656,0.01721079647541046,0.02302370872348547,0.06667442042380563,0.017210796,0.021474103,0.017270949,0.004876831,0.24529321,Chittagong,Bandarban,4,10,2019
2019-09-26,0.00831369215156883,0.014082684181630611,0.018797502852976322,0.02620808221399784,0.07658943496644474,0.018797502,0.023720304,0.019565796,0.0047410512,0.25767824,Chittagong,Bandarban,26,9,2019
2020-08-24,0.00799844996072352,0.0140157591085881,0.01851341873407364,0.025448733009397984,0.06458510980010022,0.018513419,0.02251359,0.015906522,0.0040522264,0.23768502,Chittagong,Bandarban,24,8,2020
2020-05-28,0.008980876975692808,0.01586836902424693,0.022305595688521862,0.032236745581030846,0.067994587495923,0.022305597,0.026401458,0.016126812,0.0050535495,0.18579207,Chittagong,Bandarban,28,5,2020
2018-02-14,0.06096582747995853,0.09310863725841045,0.11533103138208389,0.13979806751012802,0.19603418931365005,0.11533103,0.118579246,0.035675664,0.038490452,0.4359215,Chittagong,Bandarban,14,2,2018
2019-02-06,0.06324333790689707,0.09955497458577156,0.12534095346927643,0.15188360214233398,0.21466337442398056,0.12534095,0.12806448,0.03971193,0.036772855,0.42302236,Chittagong,Bandarban,6,2,2019
2020-08-16,0.009062161203473806,0.014923876849934459,0.01989473681896925,0.027602960355579853,0.07454263400286416,0.019894738,0.024641095,0.018173251,0.0040388675,0.29298788,Chittagong,Bandarban,16,8,2020
2017-03-26,0.0400176458992064,0.06661579385399818,0.08532427251338959,0.10855392180383205,0.17299097292125215,0.08532427,0.090901054,0.03482284,0.021855304,0.33809504,Chittagong,Bandarban,26,3,2017
2017-05-05,0.016014170879498125,0.02713044546544552,0.03678949177265167,0.051626657135784626,0.10668113417923449,0.03678949,0.042975605,0.02546044,0.0077139763,0.42390293,Chittagong,Bandarban,5,5,2017
